开标时间,开标地点,项目名称,政府采购计划编号,项目负责人,联系电话,采购方式,采购预算,投标截止时间,采购地址,采购代理地址,采购联系人,采购代理联系人,采购电话,采购代理电话
2020年02月12日 10:00,湖南省公共资源交易中心(长沙市雨花区万家丽南路二段29号）相应开标室,教务管理系统,湘财采计[2020]000012号,陈紫璇,0731-84169657,公开招标,"1,500,000元",2020年02月12日 10:00,湖南省湘潭市桃园路,长沙市雨花区湘府中路117号高升金典商务楼房12层,胡老师 ,陈紫璇、聂艳君 ,0731-58290210,0731-84169657 
2020年02月06日 09:00,湖南省公共资源交易中心,经管综合楼实验室建设（第二期）硬件采购,湘财采计[2019]017093号,王老师,0731-88688224,公开招标,4319969.6元,2020年02月06日 09:00,长沙岳麓大道569号,长沙市雨花区万家丽路二段29号,王老师 ,李中华,0731-88688224 ,89665046 
2020年02月07日10:00,湖南省公共资源交易中心(长沙市雨花区万家丽南路二段29号）相应开标室,湖南省南繁科研育种园园区监控设备采购及安装政府采购计划编号,湖南省南繁科研育种园园区监控设备采购及安装政府采购计划编号,朱楠卿,,,"12,940,000元采购项目内容与数量",2020年02月07日10:00,远大一路480号,长沙市雨花区金海路128号长沙国际研创中心第A6栋联系人,任浩 电话,长沙市雨花区金海路128号长沙国际研创中心第A6栋联系人,任浩 电话,0731-85235479-8431、13975680067 传真
2020年02月18日 10:00,衡阳市公共资源交易中心二楼1号开标室,南华大学机械工程学院中央支持地方高校专项仪器设备购置,湘财采计[2020]017392号,周桂香,18569026149,公开招标,"550,000元",供应商必须登录衡阳市公共资源交易网，须在报名截止时间前报名确认并成功下载招标文件（以投标截止时间止衡阳市公共资源交易网查询显示的下载文件单位为准），否则，视同报名不成功，其投标无效。,衡阳市常胜西路28号,衡阳市高新技术开发区芙蓉路58号愉景南苑11栋写字楼科创智谷3008室,陈老师   杨老师 ,张建怀 ,0734-8281905,0734-8439857 
2020年02月18日 09:00,衡阳市公共资源交易中心1号开标室,南华大学雨母校区学生宿舍6栋维修改造工程服务,湘财采计[2020]017391号,张建怀,0734-8439857,公开招标,"2,384,360.58元",供应商必须登录衡阳市公共资源交易网，须在报名截止时间前报名确认并成功下载招标文件（以投标截止时间止衡阳市公共资源交易网查询显示的下载文件单位为准），否则，视同报名不成功，其投标无效。,衡阳市常胜西路28号,衡阳市高新技术开发区芙蓉路58号愉景南苑11栋写字楼科创智谷3008室,陈老师   杨老师 ,张建怀 ,0734-8281905,0734-8439857 
2020年02月17日 10:00,衡阳市公共资源交易中心二楼3开标室,教务处购教学管理平台项目,湘财采计[2019]012463号,李灿,13875756812,公开招标,"2,180,800元",2020年02月17日 10:00,湖南省衡阳市珠晖区衡花路16号,衡阳市蒸湘区光辉街锡缘轩西栋1702室,周鹏 ,李灿 ,0734-8486693,13875756812 
2020年02月05日 09:00,湖南省公共资源交易中心,物业管理服务,湘财采计[2019]016116号,黄龙,28400338,公开招标,8395326.36元,2020年02月05日 09:00,湖南省株洲市云龙示范区职教大学城明礼路208号,长沙市雨花区万家丽路二段29号,黄龙 ,李春林,28400338 ,89665210 
2020年02月11日 09:00,湖南省公共资源交易中心（长沙市雨花区万家丽路二段29号，天际岭隧道南），具体标室请看当天显示屏,湖南省应急指挥中心融合升级改造建设项目（信息化设备）,湘财采计[2019]014532号,蔡伟,0731-82587018,公开招标,"31,179,725元",2020年02月11日 09:00,长沙市雨花区马王堆南路80号,湖南省长沙市芙蓉区解放中路18号华侨大厦19楼H 座,吴永胜 ,蔡伟（13574817999）、李洁如 ,0731-89751319,0731-82587018 
2020年02月10日 10:00,湖南省公共资源交易中心(长沙市雨花区万家丽南路二段29号）相应开标室（详见当天电子显示屏）,新能源汽车实训设备采购,湘财采计[2019]015089号,曹李璐,18973130688,公开招标,"1,092,400元",2020年02月10日 10:00,长沙市开福区万家丽北路一段359号,长沙市雨花区旭辉国际广场C2栋17楼 1707-1715,王老师 ,曹女士 ,0731-84099045,18973130688 
2020年02月18日 10:00,湖南省公共资源交易中心(长沙市雨花区万家丽南路二段29号）相应开标室,2019年中央财政资金仪器设备购置项目（二）重新立项,湘财采计[2019]013648号,郭跃美,0731-84169657,公开招标,"514,900元",2020年02月18日 10:00,湖南省湘潭市桃园路,长沙市雨花区湘府中路117号高升金典商务楼12层,胡大辉 ,陈紫璇、聂艳君 ,0731-58290210,0731-84169657 
2020年02月11日 09:00,湖南省公共资源交易中心,物业管理托管（三年）服务采购,湘财采计[2019]016935号,唐梦,18569087696,公开招标,11850000元,2020年02月11日 09:00,湖南省 长沙市 长沙县 特立西路719号 湖南艺术职业学院,长沙市雨花区万家丽路二段29号,唐梦 ,欧益清,18569087696 ,89665210 
2020年02月06日 10:00,长沙市雨花区万家丽路二段29号湖南省价格信息市场（湖南省公共资源交易中心）开标室公开开标（具体开标室见一楼大厅指示）,2020～2022年国家环境空气背景值监测网衡山站运行维护服务,湘财采计[2019]013714号,莫尧典,13548973608,公开招标,"1,080,000元",2020年02月06日 10:00,长沙市万家丽路3段118号,湖南省长沙市蔡锷南路天辰腾达商务大厦,荣兴 ,莫尧典  薛  浩 ,0731-82592358,0731-85177561 zcb7503@126.com 
2020年02月11日 10:00,长沙市雨花区万家丽路二段29号湖南省价格信息市场（湖南省公共资源交易中心）开标室公开开标（具体开标室见一楼大厅指示）,湖南省生态环境监测中心协同办公综合服务平台,湘财采计[2020]017393号,莫尧典,13548973608,公开招标,"1,000,000元",2020年02月11日 10:00,长沙市万家丽路3段118号,湖南省长沙市蔡锷南路天辰腾达商务大厦,荣兴 ,莫尧典  薛  浩 ,0731-82592358,0731-85177561 zcb7503@qq.com  
2020年02月05日 09:00,湖南省公共资源交易中心(长沙市雨花区万家丽南路二段29号）相应开标室（详见当天电子显示屏）,湖南交通职业技术学院通勤车运营服务采购项目,湘财采计[2019]014218号,姜先生,15874025339,公开招标,"6,600,000元",2020年02月05日 09:00,湖南长沙黄兴镇湖南交通职业技术学院,长沙市天心区新姚南路222号御邦国际广场710室,杜老师 ,姜里科 ,0731-82082002,0731-84434718 
2020年02月11日 10:00,湖南省公共资源交易中心(长沙市雨花区万家丽南路二段29号）相应开标室。,湖南省省建地表水水质自动监测站运营维护项目,湘财采计[2020]017380号,宁波,0731-85137221,公开招标,"7,200,000元",2020年02月11日 10:00,长沙市雨花区万家丽中路3段118号,长沙市雨花区湘府东路二段168号华文森林酒店6楼,陆先生 ,宁波 谭振兴 ,0731-85698149,0731-85137221 
2020年02月07日 10:00,湖南省公共资源交易中心，长沙市雨花区万家丽路二段29号，（具体开标室，详见当天电子显示屏）,湖南有色金属研究院湖南省科技重大专项《微晶石墨的高效高质化利用关键技术研究与产业化》设备采购项目,湘财采计[2019]016655号,王莎莎,15874810491,公开招标,"200,000元",2020年02月07日 10:00,长沙市芙蓉区张公岭亚大路99号,长沙市雨花区万家丽中路一段469号华雅财富大厦9楼906室,何韦璁 ,王莎莎、谭晶晶、张志鹏 ,0731-85239059,0731-82255989 
2020年02月05日 09:00,湖南省公共资源交易中心,后勤与保卫处学院物业管理服务采购,湘财采计[2019]012645号,李小波,58662838,公开招标,16740000元,2020年02月05日 09:00,湘潭市书院路42号,长沙市雨花区万家丽路二段29号,李小波 ,李中华,58662838 ,89665046 
2020年02月05日 10:00,湖南省公共资源交易中心 （湖南省长沙市雨花区万家丽南路二段29号）,湖南省消防救援总队机关综合会议室利旧设备搬迁及新设备采购项目,湘财采计[2019]012852号,周建平,15573819308,公开招标,"806,872元",2020年02月05日 10:00,湖南省长沙市岳麓区枫林三路151号,长沙市芙蓉区东二环一段1139（湖南国际商务中心二楼）,熊会明 ,周建平 ,0731-88119732,15573819308 
2020年02月04日 09:00,湖南省公共资源交易中心,教材,湘财采计[2019]013075号,黄龙,28400338,公开招标,2551680.9元,2020年02月04日 09:00,湖南省株洲市云龙示范区职教大学城明礼路208号,长沙市雨花区万家丽路二段29号,黄龙 ,李春林,28400338 ,89665210 
2020年02月03日 09:00,湖南省公共资源交易中心(长沙市雨花区万家丽南路二段29号）相应开标室（详见当天电子显示屏）。,湖南省农业农村厅资金项目监管平台建设项目,湘财采计[2019]013259号,刘莎,0731-82204733,公开招标,"6,800,000元",2020年02月03日 09:00,长沙市开福区教育街66号,长沙市芙蓉中路二段144号城市之心7楼718室,郝芬 ,刘莎、黄靖、庄美君 ,0731-84487035,0731-82204733 
2020年02月17日 09:00,湖南省公共资源交易中心,图书馆2020-2021年纸本文献资源采购,湘财采计[2019]015379号,周老师,58292065,公开招标,5360000元,2020年02月17日 09:00,湖南省湘潭市湘潭大学,长沙市雨花区万家丽路二段29号,周老师 ,李中华,58292065 ,89665046 
2020年02月04日 09:00,湖南省公共资源交易中心,2020年度公费师范生教材（大中专部分）采购,湘财采计[2019]014667号,湖南文理学院,07367186063,公开招标,1190000元,2020年02月04日 09:00,湖南省常德市洞庭大道3150号,长沙市雨花区万家丽路二段29号,湖南文理学院 ,李中华,07367186063 ,89665046 
2020年01月22日 10:30,郴州市公共资源交易中心,桂阳县人民法院科技法庭建设项目,湘财采计[2019]017310号,陈亚伟,15526263726,公开招标,"1,060,000元",2020年01月22日 10:30,桂阳县人民法院,郴州市苏仙区王仙岭街道郴江路湘南民俗风情街1A04,侯军 ,曾荣 ,17373513966,18673511318 
2020年02月04日 10:00,湖南省公共资源交易中心(长沙市雨花区万家丽南路二段29号）相应开标室。,湖南省重点行业企业用地调查检测项目,湘财采计[2020]017364号,宁波,0731-85137221,公开招标,"29,950,000元",2020年02月04日 10:00,长沙市雨花区万家丽中路3段118号,长沙市雨花区湘府东路二段168号山水熙园5栋601,宋先生 ,宁波、谭振兴 ,85698058,0731-85137221 
2020年02月04日 10:00,湖南省公共资源交易中心(长沙市雨花区万家丽南路二段29号）8开标室(详见一楼LED显示屏),德山监狱扩建工程购置电梯,湘财采计[2019]014251号,罗小姐,0731-85147088,公开招标,"1,180,000元",2020年02月04日 10:00,湖南省常德经济技术开发区崇德路1号,长沙市开福区北辰时代广场中信银行大厦1804A,彭科长 ,罗小姐 ,0736-7304504 , 0731-85147088转0     
2020年01月23日 09:00,湘潭市公共资源交易中心开标室（地址,湘潭大学校园物业管理服务采购项目,湘财采计[2019]016620号,许丹,18873233399,公开招标,"35,340,000元",2020年01月23日 09:00,湖南省湘潭市雨湖区北二环路,湘潭市岳塘区湘潭大道281号万达广场商务楼B座25楼,周老师 ,许 丹  刘凌杰  易学汶 ,0731-58292065,0731-58262652 
2020年01月21日 09:00,湖南省公共资源交易中心,中央财政支持地方高校发展专项资金第二批,湘财采计[2019]013328号,沈磊,2385117,公开招标,3465352元,2020年01月21日 09:00,湖南省怀化市锦溪南路492号,长沙市雨花区万家丽路二段29号,沈磊 ,李中华,2385117 ,89665046 
